nama barang,kategori,harga,date,user,varian,rating,review,bantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,2 hari lalu,A***s,42,bintang 5,Sepatunya ok dan pas dengan ukuran.. Nyampenya juga cepat,0 orang terbantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,1 hari lalu,Z***i,42,bintang 5,barang original enak di pakek ngebut sepatunya,0 orang terbantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,1 minggu lalu,R***i,45,bintang 5,Bagus nyaman melebihi ekspektasi saya,0 orang terbantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,2 minggu lalu,V***u,41,bintang 5,Produknya mantapppplll,1 orang terbantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,3 hari lalu,Y***e,40,bintang 5,Pengiriman cepat,0 orang terbantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,6 hari lalu,D***v,39,bintang 4,mantap,0 orang terbantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,2 minggu lalu,Z***n,40,bintang 5,Good,0 orang terbantu
910 Haze STRIKE PRIME Sepatu Lari - Putih/Biru/Mint - 40,Lari,Rp550.905,2 minggu lalu,Ganda,45,bintang 5,mantab,0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,2 bulan lalu,K***l,43,bintang 5,"Atas rekomendasi dari teman yang demen lari, untuk tipe ini untuk yang easy run / daily run enak nyaman - udah test run juga 10km enak pace siput Bentuk dan ukuran: Moder... ",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,T***S,40,bintang 5,"Warna: Black, purple, blue. Bentuk dan ukuran: 40/25,3 sepatunya bagus bgt, tapi dari awal datang packingannya sudah robek & kardusnya penyok, sepatunya ternyata aga... ",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,1 bulan lalu,M***y,43,bintang 5,"Produk sesuai , bagus , baik , rekomended",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,P***l,42,bintang 5,"Produk bagus, hanya paket sudah bonyok.. Mungkin boleh kasi pengaman yang baik atau kardus untuk sepatunya yg agak kokoh.. Mantap 🤝",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,2 minggu lalu,a***b,42,bintang 5,"kualitas bagus , barang yg datang sesuai dengan pesanan. udah gak salah kalau beli di store official",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,11 bulan lalu,a***8,45,bintang 5,"Barang bagus, belum dicoba pakai sih, mantap dapet free socks nya 2",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,y***r,45,bintang 5,"Keren sepatunya, sol nya tebal, enak dipake jogging buat aku yang bb nya 100++",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,c***j,37,bintang 5,"Bagus, suka sama product nya 🤗🤗🤗",1 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,â***,42,bintang 5,"nyaman dipake, apalagi kalo lari nya bareng km🤪",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,T***S,41,bintang 5,"Bentuk dan ukuran: nice size 41 ngepas si, seharusnya pilih 42 Warna: oke",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,b***w,40,bintang 5,"Sepatu mulus mantap👍pelayanan cepat sehari sampai, mas kurirnya baik sopan",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,2 bulan lalu,p***s,37,bintang 4,"agak kekecilan sihh, cuma size 38 ga ready:(",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,T***S,42,bintang 4,mantapp minn sayangnya gadapet bonus kaos kakii,0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,T***S,42,bintang 5,"Keren habis sepatunya, ukuran pas banget",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,T***S,41,bintang 5,Sangat memuaskan  Terimakasih free Socks nya,0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,i***y,44,bintang 5,"Kualitas keren bagus tpi awal pakai ke ada rasa panas"" gitu tpi keren si asli",0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,1 bulan lalu,C***p,39,bintang 4,Di keranjang kuning bonus kaos kaki ternyata nggak ada,0 orang terbantu
910 Nineten AURORUN Sepatu Lari - Hitam/Biru/Ungu Olahraga  Running Outdoor - 42,Lari,Rp569.905,Lebih dari 1 tahun lalu,T****,42,bintang 5,"Ok, berat sepatu 0,555 kg",0 orang terbantu
