nama barang,kategori,harga,date,user,varian,rating,review,bantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,5 bulan lalu,h***0,Distilled Blue Camo - 42,bintang 3,"Paket udah sampai sangat cepat. Agak kecewa aja sama pengirimannya kemasan pada sobek, dus pada penyok sobek.  Kecewa sama kurirnya.  Sekelas ortus kok lem leman sepatu n... ",0 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,6 bulan lalu,Asep,Distilled Blue  - 43,bintang 5,Nyaman dan ringan,0 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,4 bulan lalu,A***f,Distilled Blue Camo - 44,bintang 5,Bentuk dan ukuran: Passs MANTAPP,0 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,6 bulan lalu,*****,Distilled Blue Camo - 37,bintang 5,Top banget ringan,1 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,6 bulan lalu,ð****,Distilled Blue Camo - 39,bintang 5,kece badaii🔥,0 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,6 bulan lalu,K***­,Distilled Blue Camo - 40,bintang 5,gacorrr min,0 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,6 bulan lalu,M***N,Distilled Blue Camo - 41,bintang 5,Sesuai harapan👍👍👍,0 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,6 bulan lalu,T***S,Distilled Blue Camo - 40,bintang 5,Gokss,0 orang terbantu
"Ortuseight Sepatu Catalyst Empire IN Distilled Blue Camo - Distilled Blue Camo, 46",,Rp699.000,5 bulan lalu,L****,Distilled Blue Camo - 39,bintang 5,Realpic.... Thank you kak...,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,3 bulan lalu,A***d,Cloud Blue Cyan - 43,bintang 5,"Barang nya bagusss makasihh Ortus saya jadi sukaa sama sepatu ini, murahh dapet diskon🤩",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,2 bulan lalu,L***m,Cloud Blue Cyan - 41,bintang 5,"sepatu nya enak, enteng, bagus ga salah beli",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,6 hari lalu,C***l,Cloud Blue Cyan - 38,bintang 3,Tidah nyaman di kaki kurang puas,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,7 bulan lalu,I***-,Cloud Blue Cyan - 43,bintang 5,"Sepatuny bagus,dn uk nya pas,sesuai",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,1 bulan lalu,Y***y,Cloud Blue Cyan - 42,bintang 5,Baguss bgtt sesuai ekspektasi🫶🏻,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,2 minggu lalu,Z***z,Cloud Blue Cyan - 38,bintang 4,Bagus tapi salah size😭,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,6 bulan lalu,H***7,Cloud Blue Cyan - 44,bintang 5,Gak usa ragu dah,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,7 bulan lalu,T***S,Cloud Blue Cyan - 39,bintang 5,rekomendasi 💯,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,2 bulan lalu,J***a,Cloud Blue Cyan - 42,bintang 5,Sangat sangat baguss👍👍👍👍,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,6 bulan lalu,s***a,Cloud Blue Cyan - 39,bintang 5,sepatu nya bagus ga ada minus,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,1 minggu lalu,C***k,Cloud Blue Cyan - 41,bintang 5,Bagus banget spatunya,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,1 minggu lalu,J***h,Cloud Blue Cyan - 41,bintang 4,Bagus,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,4 bulan lalu,T***S,Cloud Blue Cyan - 40,bintang 5,gacor wak,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,2 bulan lalu,R***l,Cloud Blue Cyan - 41,bintang 5,Bagus bangat kak terimakasih,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,7 bulan lalu,ð***,Cloud Blue Cyan - 42,bintang 5,Mantavvv,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,1 bulan lalu,K***n,Cloud Blue Cyan - 42,bintang 5,Baguss,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,3 bulan lalu,X***e,Cloud Blue Cyan - 41,bintang 5,Bagus,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,3 bulan lalu,Q***w,Cloud Blue Cyan - 43,bintang 5,Good shoe,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,5 bulan lalu,T***S,Cloud Blue Cyan - 41,bintang 5,Mantap,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,5 bulan lalu,r***y,Cloud Blue Cyan - 42,bintang 4,Sebelw,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,5 bulan lalu,S****,Cloud Blue Cyan - 40,bintang 2,Tolong ya kak kurir nya jangan sok kali,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,4 bulan lalu,T***S,Cloud Blue Cyan - 40,bintang 5,Bgus,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Cloud Blue Cyan - Cloud Blue Cyan, 38",futsal,Rp449.000,4 bulan lalu,T***S,Cloud Blue Cyan - 40,bintang 5,Ddd$fffc zdddd ddd,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Mint Grey - Mint Grey, 37",futsal,Rp449.000,1 minggu lalu,A***m,Mint Grey - 40,bintang 5,Keren💸,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Silver Black - Silver Black, 37",futsal,Rp449.000,1 bulan lalu,G***t,Silver Black - 39,bintang 5,"Kualitas Barang bagus, +bisa COD+ boks nya juga gak rusak , layanan kurir juga mantap, kalo mau pesan burungan sebelum kehabisan 😊",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Silver Black - Silver Black, 37",futsal,Rp449.000,3 minggu lalu,K***x,Silver Black - 42,bintang 5,Barang okeh banget rapih  Kardus nya juga rapih sesuai dengan Poto,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Silver Black - Silver Black, 37",futsal,Rp449.000,4 bulan lalu,s***_,Silver Black - 46,bintang 5,real pick barang sampai dengan bagus.  dan sesuai dengan deskripsi.  Terimakasih.,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Silver Black - Silver Black, 37",futsal,Rp449.000,1 bulan lalu,C***f,Silver Black - 39,bintang 5,Bentuk dan ukuran: 39 Mantp best pokoknya,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Silver Black - Silver Black, 37",futsal,Rp449.000,1 minggu lalu,Q***z,Silver Black - 37,bintang 5,"pokoknya mantep banget, barang sesuai sama yg si foto",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN Silver Black - Silver Black, 37",futsal,Rp449.000,2 bulan lalu,X***v,Silver Black - 40,bintang 5,Barangnya bagus 100% ori,0 orang terbantu
