Brand,nama barang,kategori,harga,harga_int,user,varian,ukuran,date,review,rating,terbantu,label_sentimen
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,A***s,,,Jul-25,Sepatunya ok dan pas dengan ukuran.. Nyampenya juga cepat,5,0,1
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Z***i,,,Jul-25,barang original enak di pakek ngebut sepatunya,5,0,1
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,R***i,,,Jul-25,Bagus nyaman melebihi ekspektasi saya,5,0,1
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,V***u,,,Jul-25,Produknya mantapppplll,5,1,1
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Y***e,,,Jul-25,Pengiriman cepat,5,0,0
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,D***v,,,Jul-25,mantap,4,0,1
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Z***n,,,Jul-25,Good,5,0,1
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Ganda,,,Jul-25,mantab,5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,K***l,,,May-25,"Atas rekomendasi dari teman yang demen lari, untuk tipe ini untuk yang easy run / daily run enak nyaman - udah test run juga 10km enak pace siput Bentuk dan ukuran: Moder... ",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,"Warna: Black, purple, blue. Bentuk dan ukuran: 40/25,3 sepatunya bagus bgt, tapi dari awal datang packingannya sudah robek & kardusnya penyok, sepatunya ternyata aga... ",5,0,-1
910,nineten aurorun,sepatu lari,Rp569.905,569905,M***y,,,Jun-25,"Produk sesuai , bagus , baik , rekomended",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,P***l,,,Jul-24,"Produk bagus, hanya paket sudah bonyok.. Mungkin boleh kasi pengaman yang baik atau kardus untuk sepatunya yg agak kokoh.. Mantap 🤝",5,0,-1
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***b,,,Jul-25,"kualitas bagus , barang yg datang sesuai dengan pesanan. udah gak salah kalau beli di store official",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***8,,,Aug-24,"Barang bagus, belum dicoba pakai sih, mantap dapet free socks nya 2",5,0,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,y***r,,,Jul-24,"Keren sepatunya, sol nya tebal, enak dipake jogging buat aku yang bb nya 100++",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,c***j,,,Jul-24,"Bagus, suka sama product nya 🤗🤗🤗",5,1,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,â***,,,Jul-24,"nyaman dipake, apalagi kalo lari nya bareng km🤪",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,"Bentuk dan ukuran: nice size 41 ngepas si, seharusnya pilih 42 Warna: oke",5,0,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,b***w,,,Jul-24,"Sepatu mulus mantap👍pelayanan cepat sehari sampai, mas kurirnya baik sopan",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,p***s,,,May-25,"agak kekecilan sihh, cuma size 38 ga ready:(",4,0,-1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,mantapp minn sayangnya gadapet bonus kaos kakii,4,0,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,"Keren habis sepatunya, ukuran pas banget",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,Sangat memuaskan  Terimakasih free Socks nya,5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,i***y,,,Jul-24,"Kualitas keren bagus tpi awal pakai ke ada rasa panas"" gitu tpi keren si asli",5,0,-1
910,nineten aurorun,sepatu lari,Rp569.905,569905,C***p,,,Jun-25,Di keranjang kuning bonus kaos kaki ternyata nggak ada,4,0,-1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T****,,,Jul-24,"Ok, berat sepatu 0,555 kg",5,0,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,May-25,"Produknya sesuai dengan digambar, ukurannya pas 👍👍👏👏",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,*****,,,Jul-24,Bagus tapi sayang lemnya Masih luber2,5,0,-1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,"Bagussss,,, enak dpakenya ringan",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,b***s,,,Jul-24,Sepatu nya mantap saya sangat suka Kalau ada rejeki lagi mau beli lagi😁,5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,U***y,,,Jun-25,"Mantap barangnya bagus ,jangqn ragu gasssss",5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Aug-24,Padahal saya pesannya di jauh jauh hari tetapi Untuk AURORUNNYA  yg (ungu pink hitam) tetapi sudh terjual ada baiknya sebelum ngobrol di chet di cek dulu barangnya jadi b... ,1,0,-1
910,nineten aurorun,sepatu lari,Rp569.905,569905,I***m,,,Aug-24,Pas di kaki,4,0,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,Shape and size: Good Wearability: Good Color: Good,5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,ð****,,,May-25,Baguss barang nyaa debes lahh,4,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***d,,,Jul-24,Shape and size: Best Color: Good,5,0,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,J***e,,,Jul-25,Bagus sesuai dengan pesanan,5,0,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,Jul-24,ntaps,5,0,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,h***o,,,Apr-25,bagus enak dipakai,5,0,1
