Brand,nama barang,kategori,harga,harga_int,user,varian,ukuran,date,review,rating,terbantu,label_sentimen,teks_slang1,teks_slang2,cleaned_text
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,A***s,,,July 2025,Sepatunya ok dan pas dengan ukuran.. Nyampenya juga cepat,5,0,positif,Sepatunya ok dan pas dengan ukuran.. Nyampenya juga cepat,sepatunya ok dan pas dengan ukuran.. nyampenya juga cepat,sepatunya ok dan pas dengan ukuran nyampenya juga cepat
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Z***i,,,July 2025,barang original enak di pakek ngebut sepatunya,5,0,positif,barang original enak di pakai ngebut sepatunya,barang original enak di pakai ngebut sepatunya,barang original enak di pakai ngebut sepatunya
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,R***i,,,July 2025,Bagus nyaman melebihi ekspektasi saya,5,0,positif,Bagus nyaman melebihi ekspektasi saya,bagus nyaman melebihi ekspektasi saya,bagus nyaman melebihi ekspektasi saya
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,V***u,,,July 2025,Produknya mantapppplll,5,1,positif,Produknya mantapppplll,produknya mantapppplll,produknya mantappll
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Y***e,,,July 2025,Pengiriman cepat,5,0,netral,Pengiriman cepat,pengiriman cepat,pengiriman cepat
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,D***v,,,July 2025,mantap,4,0,positif,mantap,mantap,mantap
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Z***n,,,July 2025,Good,5,0,positif,Good,bagus,bagus
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Ganda,,,July 2025,mantab,5,0,positif,mantab,mantab,mantab
910,nineten aurorun,sepatu lari,Rp569.905,569905,K***l,,,May 2025,"Atas rekomendasi dari teman yang demen lari, untuk tipe ini untuk yang easy run / daily run enak nyaman - udah test run juga 10km enak pace siput Bentuk dan ukuran: Moder... ",5,0,positif,"Atas rekomendasi dari teman yang suka lari, untuk tipe ini untuk yang easy run / daily run enak nyaman - sudah test run juga 10km enak pace siput Bentuk dan ukuran: Moder... ","atas rekomendasi dari teman yang suka lari, untuk tipe ini untuk yang easy run / daily run enak nyaman - sudah test run juga 10km enak pace siput bentuk dan ukuran: moder... ",atas rekomendasi dari teman yang suka lari untuk tipe ini untuk yang easy run daily run enak nyaman sudah test run juga enak pace siput bentuk dan ukuran moder
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Warna: Black, purple, blue. Bentuk dan ukuran: 40/25,3 sepatunya bagus bgt, tapi dari awal datang packingannya sudah robek & kardusnya penyok, sepatunya ternyata aga... ",5,0,negatif,"Warna: Black, purple, blue. Bentuk dan ukuran: 40/25,3 sepatunya bagus banget, tapi dari awal datang packingannya sudah robek & kardusnya penyok, sepatunya ternyata aga... ","warna: black, purple, blue. bentuk dan ukuran: 40/25,3 sepatunya bagus banget, tapi dari awal datang packingannya sudah robek & kardusnya penyok, sepatunya ternyata aga... ",warna black purple blue bentuk dan ukuran sepatunya bagus banget tapi dari awal datang packingannya sudah robek kardusnya penyok sepatunya ternyata aga
910,nineten aurorun,sepatu lari,Rp569.905,569905,M***y,,,June 2025,"Produk sesuai , bagus , baik , rekomended",5,0,positif,"Produk sesuai , bagus , baik , rekomended","produk sesuai , bagus , baik , rekomended",produk sesuai bagus baik rekomended
910,nineten aurorun,sepatu lari,Rp569.905,569905,P***l,,,April 2024,"Produk bagus, hanya paket sudah bonyok.. Mungkin boleh kasi pengaman yang baik atau kardus untuk sepatunya yg agak kokoh.. Mantap 🤝",5,0,negatif,"Produk bagus, hanya paket sudah ayah ibu.. Mungkin boleh kasi pengaman yang baik atau kardus untuk sepatunya yang agak kokoh.. Mantap 🤝","produk bagus, hanya paket sudah ayah ibu.. mungkin boleh kasi pengaman yang baik atau kardus untuk sepatunya yang agak kokoh.. mantap 🤝",produk bagus hanya paket sudah ayah ibu mungkin boleh kasi pengaman yang baik atau kardus untuk sepatunya yang agak kokoh mantap
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***b,,,July 2025,"kualitas bagus , barang yg datang sesuai dengan pesanan. udah gak salah kalau beli di store official",5,0,positif,"kualitas bagus , barang yang datang sesuai dengan pesanan. sudah tidak salah kalau beli di store official","kualitas bagus , barang yang datang sesuai dengan pesanan. sudah tidak salah kalau beli di store official",kualitas bagus barang yang datang sesuai dengan pesanan sudah tidak salah kalau beli di store official
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***8,,,August 2024,"Barang bagus, belum dicoba pakai sih, mantap dapet free socks nya 2",5,0,netral,"Barang bagus, belum dicoba pakai sih, mantap dapat free socks nya 2","barang bagus, belum dicoba pakai sih, mantap dapat free socks nya 2",barang bagus belum dicoba pakai sih mantap dapat free socks nya
910,nineten aurorun,sepatu lari,Rp569.905,569905,y***r,,,April 2024,"Keren sepatunya, sol nya tebal, enak dipake jogging buat aku yang bb nya 100++",5,0,positif,"Keren sepatunya, sol nya tebal, enak dipake jogging buat aku yang bb nya 100++","keren sepatunya, sol nya tebal, enak dipake jogging buat aku yang bb nya 100++",keren sepatunya sol nya tebal enak dipake jogging buat aku yang bb nya
910,nineten aurorun,sepatu lari,Rp569.905,569905,c***j,,,April 2024,"Bagus, suka sama product nya 🤗🤗🤗",5,1,positif,"Bagus, suka sama product nya 🤗🤗🤗","bagus, suka sama product nya 🤗🤗🤗",bagus suka sama product nya
910,nineten aurorun,sepatu lari,Rp569.905,569905,â***,,,April 2024,"nyaman dipake, apalagi kalo lari nya bareng km🤪",5,0,positif,"nyaman dipake, apalagi kalau lari nya bareng kamu🤪","nyaman dipake, apalagi kalau lari nya bareng kamu🤪",nyaman dipake apalagi kalau lari nya bareng kamu
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Bentuk dan ukuran: nice size 41 ngepas si, seharusnya pilih 42 Warna: oke",5,0,netral,"Bentuk dan ukuran: bagus size 41 ngepas si, seharusnya pilih 42 Warna: oke","bentuk dan ukuran: bagus size 41 ngepas si, seharusnya pilih 42 warna: oke",bentuk dan ukuran bagus size ngepas si seharusnya pilih warna oke
910,nineten aurorun,sepatu lari,Rp569.905,569905,b***w,,,April 2024,"Sepatu mulus mantap👍pelayanan cepat sehari sampai, mas kurirnya baik sopan",5,0,positif,"Sepatu mulus mantap👍pelayanan cepat sehari sampai, mas kurirnya baik sopan","sepatu mulus mantap👍pelayanan cepat sehari sampai, mas kurirnya baik sopan",sepatu mulus mantappelayanan cepat sehari sampai mas kurirnya baik sopan
910,nineten aurorun,sepatu lari,Rp569.905,569905,p***s,,,May 2025,"agak kekecilan sihh, cuma size 38 ga ready:(",4,0,negatif,"agak kekecilan sihh, cuma size 38 tidak ready:(","agak kekecilan sihh, cuma size 38 tidak ready:(",agak kekecilan sihh cuma size tidak ready
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,mantapp minn sayangnya gadapet bonus kaos kakii,4,0,netral,mantapp minn sayangnya gadapet bonus kaos kakii,mantapp minn sayangnya gadapet bonus kaos kakii,mantapp minn sayangnya gadapet bonus kaos kakii
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Keren habis sepatunya, ukuran pas banget",5,0,positif,"Keren habis sepatunya, ukuran pas banget","keren habis sepatunya, ukuran pas banget",keren habis sepatunya ukuran pas banget
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,Sangat memuaskan  Terimakasih free Socks nya,5,0,positif,Sangat memuaskan  Terimakasih free Socks nya,sangat memuaskan  terimakasih free socks nya,sangat memuaskan terimakasih free socks nya
910,nineten aurorun,sepatu lari,Rp569.905,569905,i***y,,,April 2024,"Kualitas keren bagus tpi awal pakai ke ada rasa panas"" gitu tpi keren si asli",5,0,negatif,"Kualitas keren bagus tetapi awal pakai kah ada rasa panas"" begitu tetapi keren si asli","kualitas keren bagus tetapi awal pakai kah ada rasa panas"" begitu tetapi keren si asli",kualitas keren bagus tetapi awal pakai kah ada rasa panas begitu tetapi keren si asli
910,nineten aurorun,sepatu lari,Rp569.905,569905,C***p,,,June 2025,Di keranjang kuning bonus kaos kaki ternyata nggak ada,4,0,negatif,Di keranjang kuning bonus kaos kaki ternyata tidak ada,di keranjang kuning bonus kaos kaki ternyata tidak ada,di keranjang kuning bonus kaos kaki ternyata tidak ada
910,nineten aurorun,sepatu lari,Rp569.905,569905,T****,,,April 2024,"Ok, berat sepatu 0,555 kg",5,0,netral,"Ok, berat sepatu 0,555 kg","ok, berat sepatu 0,555 kg",ok berat sepatu kg
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,May 2025,"Produknya sesuai dengan digambar, ukurannya pas 👍👍👏👏",5,0,positif,"Produknya sesuai dengan digambar, ukurannya pas 👍👍👏👏","produknya sesuai dengan digambar, ukurannya pas 👍👍👏👏",produknya sesuai dengan digambar ukurannya pas
910,nineten aurorun,sepatu lari,Rp569.905,569905,*****,,,April 2024,Bagus tapi sayang lemnya Masih luber2,5,0,negatif,Bagus tapi sayang lemnya Masih luber2,bagus tapi sayang lemnya masih luber2,bagus tapi sayang lemnya masih
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Bagussss,,, enak dpakenya ringan",5,0,positif,"Bagussss,,, enak dpakenya ringan","bagussss,,, enak dpakenya ringan",baguss enak dpakenya ringan
910,nineten aurorun,sepatu lari,Rp569.905,569905,b***s,,,April 2024,Sepatu nya mantap saya sangat suka Kalau ada rejeki lagi mau beli lagi😁,5,0,positif,Sepatu nya mantap saya sangat suka Kalau ada rezeki lagi mau beli lagi😁,sepatu nya mantap saya sangat suka kalau ada rezeki lagi mau beli lagi😁,sepatu nya mantap saya sangat suka kalau ada rezeki lagi mau beli lagi
910,nineten aurorun,sepatu lari,Rp569.905,569905,U***y,,,June 2025,"Mantap barangnya bagus ,jangqn ragu gasssss",5,0,positif,"Mantap barangnya bagus ,jangqn ragu gasssss","mantap barangnya bagus ,jangqn ragu gasssss",mantap barangnya bagus jangqn ragu gass
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,August 2024,Padahal saya pesannya di jauh jauh hari tetapi Untuk AURORUNNYA  yg (ungu pink hitam) tetapi sudh terjual ada baiknya sebelum ngobrol di chet di cek dulu barangnya jadi b... ,1,0,negatif,Padahal saya pesannya di jauh jauh hari tetapi Untuk AURORUNNYA  yang (ungu pink hitam) tetapi sudh terjual ada baiknya sebelum ngobrol di chet di cek dahulu barangnya jadi b... ,padahal saya pesannya di jauh jauh hari tetapi untuk aurorunnya  yang (ungu pink hitam) tetapi sudh terjual ada baiknya sebelum ngobrol di chet di cek dahulu barangnya jadi b... ,padahal saya pesannya di jauh jauh hari tetapi untuk aurorunnya yang ungu pink hitam tetapi sudh terjual ada baiknya sebelum ngobrol di chet di cek dahulu barangnya jadi
910,nineten aurorun,sepatu lari,Rp569.905,569905,I***m,,,August 2024,Pas di kaki,4,0,netral,Pas di kaki,pas di kaki,pas di kaki
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,Shape and size: Good Wearability: Good Color: Good,5,0,positif,Shape and size: Good Wearability: Good Color: Good,shape and size: bagus wearability: bagus color: bagus,shape and size bagus wearability bagus color bagus
910,nineten aurorun,sepatu lari,Rp569.905,569905,ð****,,,May 2025,Baguss barang nyaa debes lahh,4,0,positif,Baguss barang nyaa debes lahh,baguss barang nyaa debes lahh,baguss barang nyaa debes lahh
